model,epoch,vs_baseline_wins,vs_baseline_total,vs_baseline_winrate,vs_random_wins,vs_random_total,vs_random_winrate,vs_prev_wins,vs_prev_total,vs_prev_winrate,elo_rating,elo_smooth,baseline_smooth,random_smooth,prev_smooth
20250930_0932-EXP_id03_epoch_0089,89,0,50,0.0,600,50,1200.0,625,50,1250.0,398.9031508117803,403.9729989386163,833.3333333333334,1266.6666666666667,1250.0
20251005_2131-EXP_id03_epoch_0090,90,625,50,1250.0,600,50,1200.0,1250,50,2500.0,414.6068137425938,404.0715201546127,416.6666666666667,1200.0,1666.6666666666667
20251006_2244-EXP_id03_epoch_0091,91,625,50,1250.0,575,50,1150.0,625,50,1250.0,414.49235470619743,409.3341064201905,833.3333333333334,1183.3333333333333,1666.6666666666667
20251007_0705-EXP_id03_epoch_0092,92,0,50,0.0,675,50,1350.0,625,50,1250.0,398.8755327587356,409.32490040250894,833.3333333333334,1233.3333333333333,1666.6666666666667
20250930_0933-EXP_id03_epoch_0094,94,625,50,1250.0,675,50,1350.0,0,50,0.0,398.5825857229803,403.98349106263777,833.3333333333334,1283.3333333333333,833.3333333333334
20251005_2132-EXP_id03_epoch_0095,95,625,50,1250.0,475,50,950.0,0,50,0.0,398.468292694444,398.64213705872,833.3333333333334,1216.6666666666667,416.6666666666667
20251006_2246-EXP_id03_epoch_0096,96,0,50,0.0,475,50,950.0,625,50,1250.0,398.8489915723735,398.63328999659933,833.3333333333334,1083.3333333333333,416.6666666666667
20251007_0707-EXP_id03_epoch_0097,97,0,50,0.0,525,50,1050.0,625,50,1250.0,399.04994358029023,398.78907594903586,416.6666666666667,983.3333333333334,833.3333333333334
20250930_0934-EXP_id03_epoch_0099,99,0,50,0.0,600,50,1200.0,1250,50,2500.0,399.2513230360302,399.05008606289795,0.0,1066.6666666666667,1666.6666666666667
20251005_2133-EXP_id03_epoch_0100,100,1250,50,2500.0,650,50,1300.0,1250,50,2500.0,414.9639383219312,404.4217349794172,833.3333333333334,1183.3333333333333,2083.3333333333335
20251006_2249-EXP_id03_epoch_0101,101,0,50,0.0,625,50,1250.0,625,50,1250.0,399.3249761011425,404.513412486368,833.3333333333334,1250.0,2083.3333333333335
20251005_2134-EXP_id03_epoch_0103,103,625,50,1250.0,700,50,1400.0,625,50,1250.0,415.0393481789475,409.77608753400705,1250.0,1316.6666666666667,1666.6666666666667
20250930_0936-EXP_id03_epoch_0105,105,625,50,1250.0,525,50,1050.0,1250,50,2500.0,414.9098219271387,409.7580487357429,833.3333333333334,1233.3333333333333,1666.6666666666667
20251006_2251-EXP_id03_epoch_0106,106,1250,50,2500.0,700,50,1400.0,0,50,0.0,398.78406580989997,409.57774530532873,1666.6666666666667,1283.3333333333333,1250.0
20251005_2135-EXP_id03_epoch_0108,108,0,50,0.0,850,50,1700.0,1250,50,2500.0,399.146808621099,404.2802321193792,1250.0,1383.3333333333333,1666.6666666666667
20250930_0937-EXP_id03_epoch_0110,110,0,50,0.0,625,50,1250.0,0,50,0.0,383.34921881735295,393.760031082784,833.3333333333334,1450.0,833.3333333333334
